msg_id,2nd annotation conclusion,2nd annotation score,annotator,annotator's conclusion,user,content,topic,deleted,banned,hour,explication,ton,intention,categorie,labels,toxicite_score,categorie_list,categorie_justification,labels_list,labels_justification,note,note_justification,conclusion
anon_msg_3f38e6f2ea2f,"je ne sais pas, peut-être oui",0.75,toxic_checking,1.0,anon_user_1d9228e450,"""vaccinez-vous le virus tue...""
... les boomers avec multi-comorbidités en fin de vie
faut finir ses phrases dr. véranda",anon_topic_9bae6891,1,0,13,"**Sujet du message** : Vaccination contre le virus.

**Résumé** : L'auteur souligne l'importance de se faire vacciner, tout en mentionnant que le virus affecte particulièrement les personnes âgées ayant plusieurs problèmes de santé. Il critique également l'utilisation d'une phrase incomplète.

**Sens probable** : L'auteur met en avant la gravité de la pandémie et l'importance de la vaccination, tout en se montrant sarcastique envers une certaine communication. Le terme ""boomers"" désigne généralement les personnes nées entre 1946 et 1964, et ""multi-comorbidités"" fait référence à la présence de plusieurs maladies.","1. **Sarcaste** - Le commentaire sur les ""boomers"" et ""multi-comorbidités"" laisse entendre un mépris implicite, attestant de l'ironie face à la situation. Certitude : Élevée.

2. **Critique** - Le reproche sur l'incomplétude de la phrase dévoile une intention de corriger ou de juger une communication. Certitude : Élevée.

3. **Alarmant/Préoccupé** - La mention que ""le virus tue"" insiste sur la gravité de la situation sanitaire, soulignant une inquiétude face à la pandémie. Certitude : Modérée.

Doutes : L'interprétation de la tonalité peut varier selon le contexte d'interaction et la réception du message par les lecteurs.","1. **Informer** - L'auteur souligne l'importance de la vaccination et met en avant les risques encourus par les personnes âgées avec des comorbidités, ce qui vise à sensibiliser le public à la gravité du virus. Certitude : Élevée.

2. **Critiquer** - La référence à une phrase incomplète et à l'utilisation du terme ""boomers"" indique une volonté de pointer du doigt des lacunes dans la communication au sujet de la vaccination, ajoutant un jugement sur la façon dont elle est relayée. Certitude : Élevée.

3. **Dénoncer** - Le message semble dénoncer une attitude désinvolte envers le virus et ses conséquences, en mettant l'accent sur les vies des personnes vulnérables. Certitude : Modérée.

4. **Sarcastique** - L'utilisation de termes comme ""boomers"" et ""faut finir ses phrases"" démontre une attitude méprisante, utilisant l'ironie pour critiquer le manque de sérieux dans le discours sur la vaccination. Certitude : Élevée.

5. **Alarmant/Préoccupé** - En affirmant que ""le virus tue"", l'auteur exprime une","Catégories : [""Micro-agression""]
Justification : Ton sarcastique et méprisant envers les ""boomers"", stigmatisant subtilement un groupe vulnerable.","Labels : S0/H2/V0/R0/A2/I2  
Justification : Le message exprime un sarcasme méprisant envers les boomers tout en dénonçant une communication inappropriée, sans intention manifeste de nuire mais avec une critique implicite.","Note : 4/10  
Justification : Ton sarcastique et méprisant vers les boomers, moquerie appuyée sans appel à la haine ni incitation à la violence.",['Micro-agression'],"Ton sarcastique et méprisant envers les ""boomers"", stigmatisant subtilement un groupe vulnerable.",['S0' 'H2' 'V0' 'R0' 'A2' 'I2'],"Le message exprime un sarcasme méprisant envers les boomers tout en dénonçant une communication inappropriée, sans intention manifeste de nuire mais avec une critique implicite.",4.0,"Ton sarcastique et méprisant vers les boomers, moquerie appuyée sans appel à la haine ni incitation à la violence.",1.0
anon_msg_cbc2056d3416,oui,1.0,toxic_checking,1.0,anon_user_1e1be384d9,Je propose qu'on LUI COUPE LES COUILLES,anon_topic_a660185a,1,1,12,"**Sujet du message** : Proposition de mutilation.

**Sens probable** : L'auteur suggère de subir une intervention chirurgicale extrême (ablation des testicules) sur une personne. Cela peut être interprété comme une forme d'agression ou de vengeance.

**Termes éclaircis** : ""COUILLES"" est un terme familier pour désigner les testicules, sans ambiguïté sur son sens.","Tons perçus : Provocateur, Violent, Agressif.

Justification : Le message propose une mutilation, indiquant une intention violente et provocatrice. L'usage du terme familier ""COUILLES"" renforce le ton agressif. Doutes : Le contexte exact peut atténuer ou accentuer la perception de ces tons, mais la nature du contenu reste intacte.","1. **Proposer une violence physique** (certitude élevée) : L'auteur suggère clairement une mutilation corporelle, ce qui implique une intention de violence directe envers une personne.

2. **Exprimer de la colère ou du mépris** (certitude moyenne) : L'utilisation d'un langage familier et provocateur indique un ressentiment fort envers la personne visée.

3. **Choquer ou provoquer une réaction** (certitude moyenne) : Le ton extrême et la nature du propos semblent destinés à susciter une réaction émotionnelle chez le lecteur, que ce soit l'indignation ou l'horreur.

Ces intentions sont fondées sur le contenu explicite du message ainsi que sur l’analyse tonale qui révèle une approche agressive et provocatrice.","Catégories : [""Adhésion explicite à une idée toxique""]
Justification : Proposition agressive explicite d'une mutilation, manifeste intention de violence physique envers autrui.","Labels : S3/H0/V2/R0/A3/I3  
Justification : Le message propose une mutilation, indiquant une intention violente claire, avec un ton provocateur et agressif, mais sans référence identitaire.","Note : 8/10  
Justification : Proposition explicite de violence physique grave et mutilation, agressive et provocatrice, sans appel à la haine identitaire mais clairement toxique et hostile.",[],"Proposition agressive explicite d'une mutilation, manifeste intention de violence physique envers autrui.",['S3' 'H0' 'V2' 'R0' 'A3' 'I3'],"Le message propose une mutilation, indiquant une intention violente claire, avec un ton provocateur et agressif, mais sans référence identitaire.",8.0,"Proposition explicite de violence physique grave et mutilation, agressive et provocatrice, sans appel à la haine identitaire mais clairement toxique et hostile.",1.0
anon_msg_325ea7b1828d,oui,1.0,toxic_checking,1.0,anon_user_94984f076f,"Askip il y avait une vidéo où on voit un gars sodomiser Khadafi avec un objet et tout
:malade:",anon_topic_526d019e,1,1,0,"**Sujet** : Une vidéo prétendument compromettante.

**Sens probable** : L'auteur évoque une rumeur (indiquée par ""Askip"", abréviation de ""à ce qu'il paraît"") concernant une vidéo dans laquelle un homme aurait agressé sexuellement Mouammar Kadhafi, ancien dirigeant libyen, avec un objet. 

L'expression ""malade"" reflète une réaction d'étonnement ou de dégoût.","Tons identifiés : 

1. **Sarcaste** (80%) : L'utilisation de ""Askip"" suggère une distance critique envers la rumeur, impliquant une dérision.
   
2. **Apathique** (70%) : Le ton général peut sembler désinvolte par rapport à un sujet grave, comme la violence sexuelle.

3. **Étonnement** (60%) : L'adjectif ""malade"" indique une surprise face à la situation évoquée.

Doutes : L'expression peut également évoquer un mélange d'humour noir et de dégoût, mais le sarcasme prédomine.","**Intentions identifiées** :

1. **Informer** (70%) : L'auteur partage une rumeur sur une vidéo compromettante, visant à transmettre une information qui semble sensationnelle.

2. **Critiquer** (60%) : L'usage de ""Askip"" et le ton sarcastique peuvent indiquer une critique de la propagation de rumeurs sur des sujets graves, comme la violence sexuelle.

3. **Choquer** (50%) : La mention d'une agression sexuelle et l'expression ""malade"" visent à provoquer une réaction émotionnelle forte, mêlant dégoût et étonnement.

4. **Dénoncer** (50%) : L'auteur semble dénoncer l'absurdité ou l'horreur de la situation décrite, bien que le sarcasme atténue cet aspect.

Ces intentions se croisent, révélant un discours complexe mêlant humour noir et sérieux sur un sujet sensible.","Catégories : [""Évocation ambiguë d’un propos toxique"", ""Humour à double lecture""]
Justification : Le message évoque une rumeur grave avec sarcasme, laissant planer une ambiguïté sur l'adhésion.","Labels : S2/H2/V3/R1/A2/I2  
Justification : Le message évoque de manière sarcastique une rumeur choquante d'agression sexuelle, utilisant humour noir et exprimant un mépris social pour ce type de contenu.","Note : 6/10  
Justification : Sarcasme et humour noir sur une agression sexuelle grave ; dévalorisation claire avec intention de choquer, sans incitation directe à la haine ou violence.",['Évocation ambiguë d’un propos toxique' 'Humour à double lecture'],"Le message évoque une rumeur grave avec sarcasme, laissant planer une ambiguïté sur l'adhésion.",['S2' 'H2' 'V3' 'R1' 'A2' 'I2'],"Le message évoque de manière sarcastique une rumeur choquante d'agression sexuelle, utilisant humour noir et exprimant un mépris social pour ce type de contenu.",6.0,"Sarcasme et humour noir sur une agression sexuelle grave ; dévalorisation claire avec intention de choquer, sans incitation directe à la haine ou violence.",1.0
anon_msg_d3590b8adcc7,oui,1.0,toxic_checking,1.0,anon_user_d71f630d89,"les modos sont tous des pédos c'est la condition d'entrée
ils se prennent un retour de baton de temps en temps",anon_topic_a03dc976,1,0,12,"**Sujet du message** : Critique des modérateurs de forum.

**Sens probable** : L'auteur affirme que les modérateurs auraient des comportements inappropriés et subiraient parfois des conséquences négatives. ""Pédos"" semble être une abréviation péjorative pour désigner des comportements néfastes, bien que cela nécessite prudence sans preuves.","Tons identifiés : 

1. **Provocateur** (Certitude : Élevée) : L'utilisation du terme ""pédos"" est volontairement choquante et vise à susciter une réaction forte.
2. **Critique** (Certitude : Élevée) : Le message dénonce clairement le comportement des modérateurs, exprimant un jugement négatif.
3. **Apathique** (Certitude : Moyenne) : L'énoncé peut suggérer un certain désintérêt face à la situation, se concentrant plus sur l'accusation que sur des preuves. 

Doutes : L’intention réelle derrière l’exagération pourrait nécessiter une approche contextuelle plus approfondie.","**Intentions identifiées :**

1. **Critiquer** (Certitude : Élevée) : L'auteur exprime une condamnation claire des modérateurs en les accusant d'inconduite, ce qui constitue une attaque directe envers leur intégrité.

2. **Provocateur** (Certitude : Élevée) : L'emploi du terme ""pédos"" vise à susciter une réaction forte et à choquer, ce qui indique une volonté d'attirer l'attention sur les propos tenus.

3. **Dénoncer** (Certitude : Moyenne) : En insinuant que les modérateurs subissent des ""retours de bâton"", l'auteur laisse entendre qu'il dénonce un système ou des comportements perçus comme injustes ou immoraux.

4. **Apathique** (Certitude : Moyenne) : Le ton du message, axé sur une accusation généralisée, pourrait suggérer un désintérêt pour des preuves spécifiques, privilégiant l'impact émotionnel plutôt que le raisonnement. 

Ces intentions s'entrelacent pour formuler une critique acerbe des modérateurs, tout en utilisant un langage provocateur et potentiellement irrespons","Catégories : [""Adhésion explicite à une idée toxique"", ""Critique explicite d’une idée toxique"", ""Toxicité visuelle""]
Justification : Le terme ""pédos"" est clairement toxique et l'auteur adhère à cette idée tout en critiquant les modérateurs.","S2/H2/V0/R0/A2/I2

Justification : Le message utilise un langage provocateur et moqueur (""pédos"") à connotation toxique, critiquant fortement les modérateurs avec mépris, tout en restant verbalement agressif.","Note : 7/10  
Justification : Le message contient des accusations graves, un langage provocateur et déshumanisant envers les modérateurs, atteignant un seuil d'hostilité clair.",['Critique explicite d’une idée toxique' 'Toxicité visuelle'],"Le terme ""pédos"" est clairement toxique et l'auteur adhère à cette idée tout en critiquant les modérateurs.",['S2' 'H2' 'V0' 'R0' 'A2' 'I2'],"Le message utilise un langage provocateur et moqueur (""pédos"") à connotation toxique, critiquant fortement les modérateurs avec mépris, tout en restant verbalement agressif.",7.0,"Le message contient des accusations graves, un langage provocateur et déshumanisant envers les modérateurs, atteignant un seuil d'hostilité clair.",1.0
anon_msg_6f5d014f0d34,oui,1.0,toxic_checking,1.0,anon_user_6d6150e9ad,Joel from giga taré qui condamne l'humanité et qui tire dans les couilles to cucky french dreamed qui meurt comme merde,anon_topic_3453b3ac,0,0,2,"**Sujet** : Critique d'un individu nommé ""Joel"" 

**Sens probable** : L’auteur semble exprimer du mépris pour ""Joel"", en le décrivant comme quelqu'un qui dénonce l'humanité, avec une violence suggérée, et en se moquant d'un autre personnage qu'il appelle ""cucky french dreamed"". Le terme ""taré"" signifie ""fou"" en français et ""cucky"" peut évoquer une humiliation ou une soumission.

**Certitude** : Élevée pour les termes utilisés et leur interprétation dans le contexte.","Le ton du message est :

1. **Dépréciatif** : L'auteur exprime du mépris à l'égard de Joel, le qualifiant de ""taré"" et en dénonçant son attitude. Certitude élevée.
2. **Sarcastique** : L'utilisation de ""cucky"" et ""dreamed"" suggère une moquerie envers l'autre individu. Certitude élevée.
3. **Violent** : L'expression ""tire dans les couilles"" implique une violence brutale. Certitude élevée.

Doutes possibles : Le ton peut varier selon les interprétations des termes spécifiques, mais globalement, le mépris et la moquerie sont prédominants.","1. **Critiquer** : L’auteur critique fortement ""Joel"" en le qualifiant de ""taré"", une insulte qui indique du mépris pour ses opinions sur l'humanité. Certitude élevée.

2. **Rabaisser** : En appelant ""cucky french dreamed"" un individu, l’auteur semble vouloir rabaisser cette personne, en se moquant de sa position. Certitude élevée.

3. **Dénoncer** : L'auteur dénonce l'attitude de Joel sur ses opinions sur l'humanité, suggérant que ses perspectives sont erronées ou nuisibles. Certitude élevée.

4. **Choquer** : L'utilisation d'expressions violentes comme ""tire dans les couilles"" vise à provoquer une réaction forte et à choquer les lecteurs. Certitude élevée.

Ces intentions se combinent pour créer un message global de mépris envers les deux personnages mentionnés.","Catégories : [""Reformulation toxique indirecte (strawman)"", ""Banalisation d’une idée toxique""]
Justification : La critique de ""condamne l'humanité"" sous-entend une vision négative et extrême, banalise une idée potentiellement toxique.","Labels : S0/H2/V2/R0/A2/I2  
Justification : Le message utilise un langage méprisant (H2), une menace violente implicite (V2), ton hautain (A2), sans contenu sexuel (S0) ou sensible (R0), avec une intention ambiguë mais choquante (I2).","Note : 6/10  
Justification : Le message contient des éléments de mépris, de moquerie et une violence implicite, suggérant une intention nuisible sans incitation directe à la haine.","['Reformulation toxique indirecte (strawman)'
 'Banalisation d’une idée toxique']","La critique de ""condamne l'humanité"" sous-entend une vision négative et extrême, banalise une idée potentiellement toxique.",['S0' 'H2' 'V2' 'R0' 'A2' 'I2'],"Le message utilise un langage méprisant (H2), une menace violente implicite (V2), ton hautain (A2), sans contenu sexuel (S0) ou sensible (R0), avec une intention ambiguë mais choquante (I2).",6.0,"Le message contient des éléments de mépris, de moquerie et une violence implicite, suggérant une intention nuisible sans incitation directe à la haine.",1.0
anon_msg_343a12450258,oui,1.0,toxic_checking,1.0,anon_user_e18706e99a,"Des pets poisseux même, y'aura des morceaux de gélatine dedans",anon_topic_98dfc2d2,0,0,1,"**Sujet du message** : Description d'une condition physique.

**Résumé** : L'auteur semble évoquer des flatulences anormales, mentionnant la présence potentielle de substances gélatineuses. 

**Sens probable** : Cela pourrait faire référence à des problèmes digestifs. Le terme ""pets poisseux"" pourrait désigner des gaz malodorants ou inhabituels. Le niveau de certitude sur ce dernier point est moyen.","Tons perçus : Sarcastique, Informel, Méprisant.

Justification : Le terme ""pets poisseux"" suggère une moquerie, tandis que ""morceaux de gélatine"" renforce une description désagréable. L'informalité reflète un ton décontracté. Certitude moyenne sur le mépris.","1. **Informer** (Certitude élevée)  
L'auteur fournit des informations sur une condition physique, en décrivant des flatulences qui pourraient être anormales, ce qui fait référence à des problèmes digestifs.

2. **Critiquer** (Certitude moyenne)  
L'emploi de termes comme ""pets poisseux"" suggère une critique implicite, soit de soi-même, soit d'autrui en rapport avec des problèmes de digestion. 

3. **Choquer** (Certitude moyenne)  
La formulation forte et visuelle peut être perçue comme choquante, cherchant à provoquer une réaction en décrivant une situation peu conventionnelle et désagréable.

4. **Moquer** (Certitude moyenne)  
Le ton sarcastique et le choix vocabulaire désinvolte pourraient viser à se moquer de l'expérience, témoignant d'un certain mépris face à une condition considérée comme embarrassante.","Catégories : [""Micro-agression"", ""Répétition indirecte ou moquerie passive""]
Justification : Le ton moqueur et les descriptions peu flatteuses véhiculent une forme de mépris pour une condition physique.","Labels : S0/H0/V0/R0/A2/I2  
Justification : Le message utilise un langage informel et sarcastique qui critique indirectement une condition physique, sans vraie intention de nuire mais avec un ton méprisant.","Note : 4/10  
Justification : Le message présente une moquerie appuyée et un ton condescendant vis-à-vis d'une condition physique, sans appel à la haine mais avec une intention de choquer.",['Micro-agression' 'Répétition indirecte ou moquerie passive'],Le ton moqueur et les descriptions peu flatteuses véhiculent une forme de mépris pour une condition physique.,['S0' 'H0' 'V0' 'R0' 'A2' 'I2'],"Le message utilise un langage informel et sarcastique qui critique indirectement une condition physique, sans vraie intention de nuire mais avec un ton méprisant.",4.0,"Le message présente une moquerie appuyée et un ton condescendant vis-à-vis d'une condition physique, sans appel à la haine mais avec une intention de choquer.",1.0
anon_msg_69f3dbda5cbb,oui,1.0,toxic_checking,1.0,anon_user_b6a6e9644e,Seulement 600 ? Sale puceau.,anon_topic_45c73c34,0,0,3,"**Sujet** : Volonté de critiquer quelqu'un sur son expérience ou ses accomplissements.

**Sens probable** : L'auteur semble désapprouver une personne en juxtaposant le chiffre ""600"" à une insulte sur sa virginité, suggérant un manque d'expérience ou de maturité. Le terme ""puceau"" désigne une personne qui n'a jamais eu de relations sexuelles, utilisé ici de manière péjorative.","Les tons perçus sont :

1. **Critique (certitude élevée)** : L'auteur désapprouve clairement une personne, suggérant un jugement négatif sur son expérience.
2. **Agressif (certitude élevée)** : L'utilisation du terme « sale puceau » indique une intention de blesser ou d'humilier.
3. **Sarcastique (certitude modérée)** : L'association du chiffre à l'insulte peut suggérer un ton moqueur.

L'analyse révèle un message clairement hostile, sans ambiguïté dans le jugement porté.","**Intentions principales du message :**

1. **Critiquer (certitude élevée)** : L'auteur exprime une désapprobation manifeste envers la personne visée, mettant en évidence ses accomplissements jugés insuffisants.

2. **Rabaisser (certitude élevée)** : Le terme ""puceau"" est utilisé de manière péjorative pour diminuer la valeur de la personne, suggérant une immaturité et une absence de vécu.

3. **Agressif (certitude élevée)** : Le choix de mots insultants montre une intention directe de blesser l’individu, créant un ton hostile.

4. **Sarcastique (certitude modérée)** : L'association du chiffre à l’insulte peut refléter une moquerie, insistant sur l'idée que le chiffre est dérisoire par rapport à l’évaluation de l’expérience.

Ces intentions montrent une interaction empreinte de jugement négatif et de mépris vis-à-vis de la personne ciblée.","Catégories : [""Inversion toxique"", ""Micro-agression""]
Justification : Le message rabaisse une personne en liant son chiffre à son expérience sexuelle, suggérant immaturité.","Labels : S2/H2/V0/R0/A3/I3  
Justification : Le message utilise une insulte sexuelle péjorative, dénote un mépris envers l'identité de l'autre et exprime une intention agressive de blesser.","Note : 7/10  
Justification : Utilisation d'insultes sexuelles et intention claire de rabaisser, montrant une agressivité et une hostilité manifeste contre la personne visée.",['Inversion toxique' 'Micro-agression'],"Le message rabaisse une personne en liant son chiffre à son expérience sexuelle, suggérant immaturité.",['S2' 'H2' 'V0' 'R0' 'A3' 'I3'],"Le message utilise une insulte sexuelle péjorative, dénote un mépris envers l'identité de l'autre et exprime une intention agressive de blesser.",7.0,"Utilisation d'insultes sexuelles et intention claire de rabaisser, montrant une agressivité et une hostilité manifeste contre la personne visée.",1.0
anon_msg_01a8cd7bc192,"je ne sais pas, peut-être oui",0.75,toxic_checking,1.0,anon_user_5dfa1773e0,"photo de la meuf en MP + elle a vécu au vietnam ? souvent le vaginisme c'est dû à un traumatisme , donc....",anon_topic_765cb265,1,0,14,"**Sujet du message** : Discussion sur un problème de santé physique et une référence à une personne.

**Résumé** : L'utilisateur demande une photo d'une femme en message privé (MP) et fait un lien entre le vaginisme, un trouble de la fonction sexuelle, et un possible traumatisme, en mentionnant que cette femme a vécu au Vietnam.

**Explications** : 
- Vaginisme : contraction involontaire des muscles vaginaux, souvent liée à des expériences traumatiques. 
- MP : message privé, un message envoyé de manière confidentielle à un autre utilisateur. 
- Niveau de certitude : élevé concernant les définitions et contextes.","Tons identifiés : 

1. **Neutre** : Le message présente une information factuelle sur le vaginisme sans émotion apparente.
  
2. **Analytique** : L’utilisateur fait un lien entre le vécu d'une personne et une condition médicale, montrant une réflexion sur le sujet.

3. **Intrusif** : La demande d'une photo de manière privée peut être perçue comme une intrusion dans la vie privée.

Certitude : élevée, bien que le ton neutre puisse contenir une légère connotation d'inquiétude ou de curiosité concernant la santé.","Intentions principales du message :

1. **Obtenir une photo (intention intrusive)** – L’auteur demande explicitement une photo en message privé, ce qui manifeste une volonté d’accès à une image privée ; intention clairement intrusive (certitude élevée).

2. **Informer / analyser un problème médical** – L’utilisateur explique une cause fréquente du vaginisme (traumatisme), reliant cette information au vécu d’une personne, ce qui reflète une intention d’explicitation ou d’analyse factuelle (certitude élevée).

3. **Suggérer une hypothèse implicite sur la situation personnelle d’une tierce personne** – En associant le passé au Vietnam au vaginisme via un traumatisme, l’auteur sous-entend un lien possible, sans le formuler comme une certitude stricte (certitude moyenne).

Ces intentions cohabitent : la demande de photo vise à une interaction plus personnelle tandis que la réflexion sur le vaginisme traduit une démarche explicative, avec une tonalité légèrement intrusive mais sans jugement explicite ni critique.","Catégories : [""Bienveillance trompeuse"", ""Micro-agression"", ""Évocation ambiguë d’un propos toxique""]
Justification : Le message combine une demande intrusive sous prétexte d'analyse médicale, insinuant des jugements sans clarté.","S1/H1/V0/R0/A2/I2  
Ce message inclut une référence médicale neutre, une mention implicite pouvant être ambiguë ou inappropriée, aucune violence, pas de contenu sensible, une attitude méprisante ou intrusive, et une intention ambiguë ou déplacée.","Note : 4/10  
Justification : La demande intrusive pour une photo et le lien vague entre le passé et un problème médical ajoutent une connotation condescendante, sans franchir le seuil d'une hostilité claire.","['Bienveillance trompeuse' 'Micro-agression'
 'Évocation ambiguë d’un propos toxique']","Le message combine une demande intrusive sous prétexte d'analyse médicale, insinuant des jugements sans clarté.",['S1' 'H1' 'V0' 'R0' 'A2' 'I2'],"Ce message inclut une référence médicale neutre, une mention implicite pouvant être ambiguë ou inappropriée, aucune violence, pas de contenu sensible, une attitude méprisante ou intrusive, et une intention ambiguë ou déplacée.",4.0,"La demande intrusive pour une photo et le lien vague entre le passé et un problème médical ajoutent une connotation condescendante, sans franchir le seuil d'une hostilité claire.",1.0
anon_msg_9745e2b7300c,oui,1.0,toxic_checking,1.0,anon_user_b1ae8b8f2f,"J'avoue j'ai bande, je peux la remplacer et tu te vides dans mon anus d'homme féminin ?",anon_topic_7a185bea,1,0,12,"**Sujet du message** : Désir sexuel.

**Sens probable** : L'expéditeur mentionne avoir une excitation sexuelle et propose un échange de rôles ou une activité sexuelle spécifiquement liée à une expérience anale. 

Explications : ""Bande"" fait référence à l’excitation ou une érection, et ""anus d'homme féminin"" pourrait suggérer une volonté de jouer avec l'identité de genre ou les rôles sexuels.","Tons perçus : 

1. **Provocateur** (très probable) : La formulation suggestive et explicite du désir sexuel vise à choquer ou à susciter une réaction. 
2. **Ludique** (probable) : L'aspect de jeu de rôle et d'échange dans les activités sexuelles peut indiquer une approche légère et exploratoire.
3. **Sexuel** (certain) : Le contenu du message est clairement axé sur l'expression de désirs et de pratiques sexuelles. 

Doutes : Le ton ludique pourrait être interprété différemment selon le contexte et la relation entre les interlocuteurs.","Intentions principales du message :

1. **Exprimer un désir sexuel** (très certain) : Le contenu explicite révèle clairement une volonté d'exprimer une excitation et un souhait d'activité sexuelle spécifique.

2. **Provoquer ou choquer** (hautement probable) : Le choix délibéré d’un langage cru et d’une formulation peu conventionnelle vise à susciter une réaction, voire à déstabiliser le destinataire.

3. **Inviter à un jeu érotique ou une expérimentation** (probable) : La proposition d’échange de rôles et le rappel à une dynamique de jeu suggèrent une intention ludique, une exploration sexuelle plutôt qu’un simple énoncé brut.

Ces intentions sont déduites du ton suggestif, du vocabulaire explicite et du cadre implicite d’interaction sexuelle évoqué.","Catégories : [""Humour à double lecture""]
Justification : La formulation suggestive peut être perçue comme provocante ou ludique, utilisant l'humour ou l'ironie implicite.","Labels : S2/H0/V0/R0/A2/I2  
Justification : Contenu sexuel explicite à visée provocatrice sans haine ni violence, ton méprisant possible et intention ambiguë de choquer sans volonté manifeste de nuire.","Note : 4/10  
Justification : Propos sexuels explicites et suggestifs, provocateurs et condescendants, mais sans incitation à la haine ou à la violence. Ton potentiellement blessant, mais sans gravité excessive.",['Humour à double lecture'],"La formulation suggestive peut être perçue comme provocante ou ludique, utilisant l'humour ou l'ironie implicite.",['S2' 'H0' 'V0' 'R0' 'A2' 'I2'],"Contenu sexuel explicite à visée provocatrice sans haine ni violence, ton méprisant possible et intention ambiguë de choquer sans volonté manifeste de nuire.",4.0,"Propos sexuels explicites et suggestifs, provocateurs et condescendants, mais sans incitation à la haine ou à la violence. Ton potentiellement blessant, mais sans gravité excessive.",1.0
anon_msg_881bcd710837,oui,1.0,toxic_checking,1.0,anon_user_54baf783f5,"Un marocain qui fait la vaisselle ? T es bien renseigné toi
Dans ma culture le mariage est important rien à voir avec tes magalies",anon_topic_bb3c1e80,1,0,5,"**Sujet du message** : Les rôles de genre et les valeurs culturelles au sein du mariage.

**Sens probable** : L'auteur remet en question l'idée qu'un homme marocain pourrait faire des tâches ménagères, soulignant l'importance du mariage dans sa culture, en la comparant négativement à d'autres pratiques qu'il considère moins respectables. 

**Terminologie** :
- ""Marocain"" : réfère à une personne originaire du Maroc.
- ""Magalies"" : expression vague, possiblement désignant des traditions ou pratiques perçues comme inférieures. Niveau de certitude sur cette interprétation : modéré.","Tons perçus : 

1. **Provocateur** (90%) : L'auteur remet en question les stéréotypes sur la culture marocaine avec une question suggestive, visant à choquer.
2. **Condescendant** (80%) : L'utilisation du terme ""T es bien renseigné"" implique une attitude de dédain envers les idées exprimées par l'autre.
3. **Défensif** (75%) : L’auteur se positionne fermement sur la valeur culturelle du mariage, indiquant un besoin de défendre ses valeurs.
4. **Négatif** (70%) : La comparaison des pratiques culturelles implique un jugement péjoratif envers d'autres traditions, renforçant une vision tranchée.

Ces tons sont variés et s'entremêlent pour créer une réponse à la fois provocante et chargée de préjugés.","Labels : S1/H2/V0/R0/A2/I2  
Justification : Le message exprime des stéréotypes sur les rôles de genre en remettant en question la masculinité marocaine, avec un ton condescendant et provocateur vis-à-vis d'autres cultures.","Catégories : [""Inversion toxique"", ""Micro-agression"", ""Banalisation d’une idée toxique""]
Justification : Le message inverse les rôles de genre en minimisant les tâches masculines et banalise un jugement sur d'autres cultures.","Labels : S1/H2/V0/R0/A2/I2  
Justification : Le message exprime des stéréotypes sur les rôles de genre en remettant en question la masculinité marocaine, avec un ton condescendant et provocateur vis-à-vis d'autres cultures.","Note : 5/10  
Justification : Le message véhicule des préjugés et un jugement péjoratif sur d'autres cultures, tout en présentant une attitude condescendante.",['Inversion toxique' 'Micro-agression' 'Banalisation d’une idée toxique'],Le message inverse les rôles de genre en minimisant les tâches masculines et banalise un jugement sur d'autres cultures.,['S1' 'H2' 'V0' 'R0' 'A2' 'I2'],"Le message exprime des stéréotypes sur les rôles de genre en remettant en question la masculinité marocaine, avec un ton condescendant et provocateur vis-à-vis d'autres cultures.",5.0,"Le message véhicule des préjugés et un jugement péjoratif sur d'autres cultures, tout en présentant une attitude condescendante.",1.0
